iter	Passed	Remaining
746	2126	720
747	2129	717
748	2131	714
749	2134	711
750	2136	708
751	2138	705
752	2141	702
753	2143	699
754	2146	696
755	2149	693
756	2151	690
757	2155	688
758	2157	685
759	2160	682
760	2165	680
761	2168	677
762	2170	674
763	2173	671
764	2175	668
765	2177	665
766	2179	662
767	2182	659
768	2184	656
769	2187	653
770	2189	650
771	2191	647
772	2193	644
773	2195	641
774	2198	638
775	2200	635
776	2202	632
777	2205	629
778	2207	626
779	2209	623
780	2212	620
781	2214	617
782	2217	614
783	2219	611
784	2221	608
785	2223	605
786	2225	602
787	2227	599
788	2230	596
789	2232	593
790	2234	590
791	2236	587
792	2239	584
793	2241	581
794	2243	578
795	2246	575
796	2248	572
797	2250	569
798	2253	566
799	2255	563
800	2257	560
801	2260	558
802	2262	555
803	2265	552
804	2267	549
805	2269	546
806	2272	543
807	2274	540
808	2276	537
809	2279	534
810	2281	531
811	2283	528
812	2285	525
813	2287	522
814	2289	519
815	2292	516
816	2295	514
817	2297	511
818	2299	508
819	2302	505
820	2304	502
821	2307	499
822	2310	496
823	2312	493
824	2314	491
825	2316	488
826	2319	485
827	2321	482
828	2324	479
829	2326	476
830	2329	473
831	2331	470
832	2334	467
833	2336	465
834	2339	462
835	2341	459
836	2344	456
837	2346	453
838	2348	450
839	2351	447
840	2354	445
841	2356	442
842	2359	439
843	2361	436
844	2363	433
845	2366	430
846	2369	427
847	2371	425
848	2374	422
849	2376	419
850	2379	416
851	2381	413
852	2383	410
853	2385	407
854	2388	405
855	2390	402
856	2393	399
857	2396	396
858	2398	393
859	2401	390
860	2404	388
861	2407	385
862	2411	382
863	2414	379
864	2416	377
865	2419	374
866	2421	371
867	2424	368
868	2426	365
869	2428	362
870	2431	360
871	2433	357
872	2436	354
873	2438	351
874	2440	348
875	2442	345
876	2445	342
877	2447	340
878	2449	337
879	2452	334
880	2454	331
881	2456	328
882	2458	325
883	2460	322
884	2463	320
885	2465	317
886	2467	314
887	2470	311
888	2472	308
889	2474	305
890	2476	303
891	2479	300
892	2482	297
893	2485	294
894	2487	291
895	2490	289
896	2493	286
897	2496	283
898	2498	280
899	2502	278
900	2504	275
901	2507	272
902	2510	269
903	2513	266
904	2516	264
905	2518	261
906	2521	258
907	2523	255
908	2526	252
909	2529	250
910	2531	247
911	2534	244
912	2536	241
913	2539	238
914	2541	236
915	2544	233
916	2547	230
917	2549	227
918	2552	224
919	2554	222
920	2556	219
921	2559	216
922	2562	213
923	2564	210
924	2567	208
925	2569	205
926	2571	202
927	2574	199
928	2576	196
929	2578	194
930	2580	191
931	2582	188
932	2585	185
933	2587	182
934	2589	180
935	2592	177
936	2594	174
937	2596	171
938	2598	168
939	2601	166
940	2603	163
941	2605	160
942	2608	157
943	2610	154
944	2612	152
945	2614	149
946	2616	146
947	2619	143
948	2622	140
949	2624	138
950	2626	135
951	2628	132
952	2631	129
953	2633	126
954	2635	124
955	2638	121
956	2640	118
957	2642	115
958	2645	113
959	2648	110
960	2650	107
961	2653	104
962	2655	102
963	2658	99
964	2660	96
965	2664	93
966	2667	91
967	2670	88
968	2672	85
969	2675	82
970	2679	80
971	2681	77
972	2683	74
973	2686	71
974	2689	68
975	2691	66
976	2693	63
977	2695	60
978	2698	57
979	2700	55
980	2703	52
981	2705	49
982	2708	46
983	2710	44
984	2712	41
985	2715	38
986	2718	35
987	2720	33
988	2723	30
989	2725	27
990	2727	24
991	2729	22
992	2731	19
993	2734	16
994	2737	13
995	2739	11
996	2742	8
997	2744	5
998	2747	2
999	2750	0
